,0
75,'11240';'Graz/Flughafen';'340';'2021-01-30';'03:00';'-3.7';'°C';'2021-01-30 03:10:10'
76,'11240';'Graz/Flughafen';'340';'2021-01-30';'04:00';'-2.6';'°C';'2021-01-30 04:10:09'
77,'11240';'Graz/Flughafen';'340';'2021-01-30';'05:00';'-3.7';'°C';'2021-01-30 05:10:09'
78,'11240';'Graz/Flughafen';'340';'2021-01-30';'06:00';'-3.5';'°C';'2021-01-30 06:10:12'
79,'11240';'Graz/Flughafen';'340';'2021-01-30';'07:00';'-4.6';'°C';'2021-01-30 07:10:12'
80,'11240';'Graz/Flughafen';'340';'2021-01-30';'08:00';'-4.5';'°C';'2021-01-30 08:10:12'
81,'11240';'Graz/Flughafen';'340';'2021-01-30';'09:00';'-2.2';'°C';'2021-01-30 09:10:12'
82,'11240';'Graz/Flughafen';'340';'2021-01-30';'10:00';'1.0';'°C';'2021-01-30 10:10:10'
83,'11240';'Graz/Flughafen';'340';'2021-01-30';'11:00';'3.2';'°C';'2021-01-30 11:10:09'
84,'11240';'Graz/Flughafen';'340';'2021-01-30';'12:00';'5.5';'°C';'2021-01-30 12:10:20'
85,'11240';'Graz/Flughafen';'340';'2021-01-30';'13:00';'7.1';'°C';'2021-01-30 13:10:09'
86,'11240';'Graz/Flughafen';'340';'2021-01-30';'14:00';'9.5';'°C';'2021-01-30 14:10:10'
87,'11240';'Graz/Flughafen';'340';'2021-01-30';'15:00';'9.2';'°C';'2021-01-30 15:10:13'
88,'11240';'Graz/Flughafen';'340';'2021-01-30';'16:00';'8.0';'°C';'2021-01-30 16:10:09'
89,'11240';'Graz/Flughafen';'340';'2021-01-30';'17:00';'6.4';'°C';'2021-01-30 17:10:14'
90,'11240';'Graz/Flughafen';'340';'2021-01-30';'18:00';'5.7';'°C';'2021-01-30 18:10:12'
91,'11240';'Graz/Flughafen';'340';'2021-01-30';'19:00';'4.1';'°C';'2021-01-30 19:10:19'
92,'11240';'Graz/Flughafen';'340';'2021-01-30';'20:00';'4.8';'°C';'2021-01-30 20:10:17'
93,'11240';'Graz/Flughafen';'340';'2021-01-30';'21:00';'4.1';'°C';'2021-01-30 21:10:10'
94,'11240';'Graz/Flughafen';'340';'2021-01-30';'22:00';'3.2';'°C';'2021-01-30 22:10:13'
95,'11240';'Graz/Flughafen';'340';'2021-01-30';'23:00';'1.9';'°C';'2021-01-30 23:10:10'
96,'11240';'Graz/Flughafen';'340';'2021-01-31';'00:00';'1.1';'°C';'2021-01-31 00:10:09'
97,'11240';'Graz/Flughafen';'340';'2021-01-31';'01:00';'0.5';'°C';'2021-01-31 01:10:10'
98,'11240';'Graz/Flughafen';'340';'2021-01-31';'02:00';'-0.3';'°C';'2021-01-31 02:10:08'
99,'11240';'Graz/Flughafen';'340';'2021-01-31';'03:00';'-0.7';'°C';'2021-01-31 03:10:10'
100,'11240';'Graz/Flughafen';'340';'2021-01-31';'04:00';'-1.1';'°C';'2021-01-31 04:10:09'
101,'11240';'Graz/Flughafen';'340';'2021-01-31';'05:00';'-1.4';'°C';'2021-01-31 05:10:08'
102,'11240';'Graz/Flughafen';'340';'2021-01-31';'06:00';'-1.5';'°C';'2021-01-31 06:10:11'
103,'11240';'Graz/Flughafen';'340';'2021-01-31';'07:00';'-1.4';'°C';'2021-01-31 07:10:09'
104,'11240';'Graz/Flughafen';'340';'2021-01-31';'08:00';'-1.5';'°C';'2021-01-31 08:10:09'
105,'11240';'Graz/Flughafen';'340';'2021-01-31';'09:00';'-1.2';'°C';'2021-01-31 09:10:09'
106,'11240';'Graz/Flughafen';'340';'2021-01-31';'10:00';'-0.9';'°C';'2021-01-31 10:10:08'
107,'11240';'Graz/Flughafen';'340';'2021-01-31';'11:00';'-0.3';'°C';'2021-01-31 11:10:10'
108,'11240';'Graz/Flughafen';'340';'2021-01-31';'12:00';'0.4';'°C';'2021-01-31 12:10:09'
109,'11240';'Graz/Flughafen';'340';'2021-01-31';'13:00';'1.7';'°C';'2021-01-31 13:10:23'
110,'11240';'Graz/Flughafen';'340';'2021-01-31';'14:00';'1.1';'°C';'2021-01-31 14:10:19'
111,'11240';'Graz/Flughafen';'340';'2021-01-31';'15:00';'0.7';'°C';'2021-01-31 15:10:10'
112,'11240';'Graz/Flughafen';'340';'2021-01-31';'16:00';'0.3';'°C';'2021-01-31 16:10:12'
